year,variable,level,exposed,comparison,smd
2022,education,0,53.046159609353914,45.05171411790959,0.1604315183793107
2022,education,1,25.768760817075524,26.748716977648073,-0.022271084180030706
2022,education,2,21.18507957357057,28.19956890444234,-0.16320620110429387
2022,region,TR1,20.607457386836632,21.27543710443831,-0.016417239393864903
2022,region,TR2,4.663370156489792,4.6779943663129995,-0.0006930571226879376
2022,region,TR3,14.340733562319086,12.71628191033157,0.04750812144625063
2022,region,TR4,10.834219788601224,10.279225059645361,0.018062096755152742
2022,region,TR5,9.953304790243875,10.639341563714163,-0.022575056986088225
2022,region,TR6,12.79256050727962,13.204334548703073,-0.012244973810621427
2022,region,TR7,4.486268765313275,5.059583182976149,-0.026894257341959833
2022,region,TR8,5.441372833771441,5.222225756626011,0.009754429855647378
2022,region,TR9,3.088148759101169,2.6290885396446413,0.027550571543198413
2022,region,TRA,1.9628205916636654,2.1008542874611105,-0.009783705057952305
2022,region,TRB,3.8716964480048452,3.7870392130291446,0.004411439813974987
2022,region,TRC,7.958046410375381,8.408594467117474,-0.0164372900090443
2024,education,0,52.43366573027119,44.930679293223754,0.15053649126055946
2024,education,1,26.277087653383013,26.668786170038395,-0.008878335125790723
2024,education,2,21.2892466163458,28.400534536737847,-0.1651299032709606
2024,region,TR1,20.803356782166585,20.278345619269956,0.012995605916640174
2024,region,TR2,5.009637544425036,4.608151396577434,0.018765877359878197
2024,region,TR3,13.637806391619057,13.694993038421444,-0.0016648602985332912
2024,region,TR4,10.277804796674586,10.761379835821975,-0.01576209463922525
2024,region,TR5,9.59898453807788,10.615404199405786,-0.033725392909939894
2024,region,TR6,12.970100598780007,12.759011130543495,0.006304837543231646
2024,region,TR7,4.820910334615234,4.699241430978816,0.005714324628923646
2024,region,TR8,5.6519296945066255,5.183217922450495,0.02070720552915928
2024,region,TR9,2.9846169606511967,2.8356589673832913,0.008861848984925765
2024,region,TRA,1.9935079110633043,1.9198099696527087,0.00532096346460508
2024,region,TRB,3.9052557349600794,3.7843132076664747,0.006290117598950833
2024,region,TRC,8.3460887124604,8.860473281828126,-0.018344625214927225
2025,education,0,52.32803696858165,44.37629574860421,0.1596272759358506
2025,education,1,26.472854519923374,27.627581000667266,-0.02599671231161672
2025,education,2,21.199108511494995,27.996123250728516,-0.15831994472323094
2025,region,TR1,19.25767538165986,20.67251589009822,-0.035399741563418005
2025,region,TR2,4.9809115395848,4.668270994757793,0.014590299821957182
2025,region,TR3,14.158189734039558,14.237134875481377,-0.0022618703291979294
2025,region,TR4,10.488535877834845,10.867145619849818,-0.012259665406813074
2025,region,TR5,9.931300846656619,10.264265820167386,-0.011051136822167996
2025,region,TR6,13.652300498762877,12.309471616106277,0.03996205869943791
2025,region,TR7,4.750286107745253,4.667272119084067,0.003918966132253344
2025,region,TR8,5.824826369822141,5.213852218988432,0.026757571429428962
2025,region,TR9,2.981763224128392,2.8409338643929587,0.008376559515808662
2025,region,TRA,1.933633952266066,1.844425652713584,0.006552837558473374
2025,region,TRB,3.5997783129975645,3.6533195379278136,-0.0028639357595477335
2025,region,TRC,8.440798154502033,8.761391790432269,-0.011434432804460607
