Cutoff,Candidate cutoff at age 43,Outcome,coef,se_household,p_household,ci_low,ci_high,n,r2
36,False,Formal,-1.0820401183572828,1.9496560381010453,0.5789013201724948,-4.903295735276383,2.7392154985618173,48961,0.001129521110010856
36,False,Informal,3.187086871771899,1.449281243465649,0.027872162020628685,0.34654783110980114,6.027625912433997,48961,0.0005370559526781671
36,False,"Retired, outside labor force",0.06259482342442431,0.08809007070827515,0.47734608149556423,-0.11005854255938176,0.2352481894082304,48961,0.0002579281991301752
37,False,Formal,-1.8097065958332939,1.9235701828205627,0.346804225241667,-5.579834875896724,1.9604216842301365,49583,0.0005391828719424341
37,False,Informal,1.700830700815317,1.4184301499608534,0.23049150141856556,-1.0792413076937037,4.480902709324337,49583,0.0004180986811163079
37,False,"Retired, outside labor force",0.11188695411191021,0.07270814599930242,0.12384084066860622,-0.030618393429402535,0.25439230165322296,49583,0.00023407840813183256
38,False,Formal,-1.1042991008194696,1.9084710253529797,0.5628386768520482,-4.844833576049538,2.6362353744105995,50389,0.0007363242513562795
38,False,Informal,-1.5265087824980974,1.4219358315691972,0.2830277065119394,-4.3134518007007365,1.2604342357045415,50389,0.0008190479623951807
38,False,"Retired, outside labor force",-0.14083683438664674,0.10154877392422028,0.16547574211080363,-0.3398687739523186,0.05819510517902518,50389,0.00033987432266835427
39,False,Formal,-1.0699023705738115,1.9141919819859676,0.5762084081775096,-4.8216497147616515,2.681844973614029,51281,0.0008260832845280452
39,False,Informal,0.6595734367513271,1.4297289659311967,0.6445635840631496,-2.1426438441275124,3.4617907176301665,51281,0.0008525545326272255
39,False,"Retired, outside labor force",-0.0134049369873778,0.10603055990784778,0.8993953387171704,-0.22122101566737604,0.19441114169262044,51281,0.0004017957359916391
40,False,Formal,3.7398394218969426,1.9064481526785533,0.049799861147793674,0.003269704254059924,7.476409139539825,52369,0.0007907634683345099
40,False,Informal,-1.9556343185796285,1.433727404659872,0.1725609497671864,-4.765688395361062,0.8544197582018047,52369,0.0010218855390707882
40,False,"Retired, outside labor force",0.056233933802969926,0.12432214627768191,0.6510353377649966,-0.18743299538200697,0.2999008629879468,52369,0.0005233722821418318
41,False,Formal,3.849168546331678,1.8807551346776594,0.040696586561311685,0.16295621862468668,7.535380874038669,53240,0.002417545683682465
41,False,Informal,-2.4193079039877543,1.431968277498562,0.09112398626218586,-5.225914154888794,0.38729834691328513,53240,0.001445500852993109
41,False,"Retired, outside labor force",-0.33659909022844214,0.1656309032089207,0.04213098821835244,-0.6612296952447664,-0.011968485212117908,53240,0.0026794637624975026
42,False,Formal,-6.373367088158001,1.885866212274329,0.0007260629005625676,-10.069596943876654,-2.6771372324393474,53766,0.002836404395833436
42,False,Informal,2.82579704248894,1.4395931921753766,0.04965621527200052,0.004246233436153268,5.647347851541727,53766,0.001488765998754249
42,False,"Retired, outside labor force",-0.11637114681796557,0.21586150399834866,0.5898171843228646,-0.5394519203033779,0.30670962666744667,53766,0.003693981298506066
43,True,Formal,-1.9415756366172265,1.9399552981320272,0.3169064668641858,-5.743818152573663,1.8606668793392098,54001,0.0029245852283831253
43,True,Informal,2.626684099875904,1.4946972803095495,0.07886069636273706,-0.3028687373207828,5.55623693707259,54001,0.0013627382406828925
43,True,"Retired, outside labor force",0.6085517855436623,0.3226895935012665,0.05931198978172347,-0.0239081959046904,1.241011766992015,54001,0.004187902769577145
44,False,Formal,6.730519290816503,1.977983227092232,0.0006671908535150569,2.853743403691417,10.607295177941587,53317,0.003541580574657699
44,False,Informal,-1.696820619538271,1.51583554493986,0.2629711315011043,-4.667803694106043,1.274162455029501,53317,0.0015009539582715448
44,False,"Retired, outside labor force",-0.0792365070033979,0.4006088261649402,0.8432091999971156,-0.8644153781755479,0.7059423641687521,53317,0.004443562352193231
45,False,Formal,-3.3638118817282794,2.0099424777720483,0.09421196346454415,-7.303226749158692,0.5756029857021332,52590,0.001909520315358404
45,False,Informal,-0.8127745642891071,1.5362664490368714,0.5967649857807047,-3.8238014750586133,2.198252346480399,52590,0.0011056248930166879
45,False,"Retired, outside labor force",-0.1292842864601378,0.4473900611544161,0.7726009475669573,-1.0061526933639655,0.74758412044369,52590,0.004612421995316196
46,False,Formal,-3.8421925298882464,2.0585481905155816,0.061977397029901404,-7.876872843738884,0.1924877839623913,51673,0.002150007389649433
46,False,Informal,0.48327934950447193,1.5821247774120204,0.7600141385632306,-2.6176282332715375,3.5841869322804816,51673,0.0012325136673851933
46,False,"Retired, outside labor force",-0.033229367544642896,0.5120512066337505,0.9482579056313869,-1.0368312907870711,0.9703725556977854,51673,0.004623317808155947
47,False,Formal,6.762220917081371,2.1127586870829638,0.0013711351334587086,2.6212899823746323,10.90315185178811,50418,0.004552594414975686
47,False,Informal,-0.6374769945117643,1.6353564014907376,0.6966776294389057,-3.842716643320635,2.567762654297106,50418,0.002012090448943571
47,False,"Retired, outside labor force",-0.5155556441004463,0.6045984311705977,0.3938123311665227,-1.7005467943042367,0.6694355061033441,50418,0.007222467783862263
48,False,Formal,-0.8432780448561388,2.142042933676193,0.6938177976570429,-5.0416050481999966,3.3550489584877186,49952,0.007181450871133421
48,False,Informal,0.01788443801297379,1.657876127579047,0.9913929394530514,-3.23149306287069,3.2672619388966377,49952,0.0023525490415629013
48,False,"Retired, outside labor force",1.3980484209689166,0.6958400219969958,0.04452100891122491,0.03422703885324574,2.761869803084587,49952,0.006482298889498028
