design,outcome,n_unique,coefficient_2024,coefficient_2025,coef,se,p,ci_low,ci_high,p_wild,p_holm
cohort,total,128783,-2.3261681543618806,-2.4839418041768795,-0.15777364981499886,0.6358080788946433,0.8040209365379047,-1.4039345855280667,1.088387285898069,,1.0
cohort,formal,128783,-4.7661883323196435,-6.09006053719952,-1.3238722048798763,0.8131771680874417,0.10351972939718443,-2.917670167381492,0.2699257576217393,,0.6211183763831065
cohort,informal,128783,2.4400201779568675,3.6061187330219298,1.1660985550650622,0.6168541561315165,0.058705034083407714,-0.04291337466652423,2.3751104847966484,0.02926829268292683,0.410935238583854
cohort,retired,128783,1.4549692621609172,1.4774196497102512,0.02245038754933404,0.15225058087124013,0.8827714542963081,-0.2759552675835913,0.32085604268225937,,1.0
age,total,128188,-0.6182264530048087,-0.8251470373270422,-0.20692058432223348,0.6369617188807779,0.7452903583898984,-1.4553426128592504,1.0415014442147834,,1.0
age,formal,128188,-4.993868076627848,-5.193732747948388,-0.1998646713205403,0.8134749734628491,0.8059203056236077,-1.794246321632357,1.3945169789912764,,1.0
age,informal,128188,4.375641623622741,4.368585710621446,-0.0070559130012952664,0.6144207989242241,0.9908374190513332,-1.2112985502450677,1.1971867242424772,0.9863414634146341,1.0
age,retired,128188,1.3498950127253835,0.7424453073666459,-0.6074497053587375,0.15385306834344084,7.87260052495381e-05,-0.9089961782228528,-0.30590323249462226,,0.0006298080419963048
