Year,Cohort,N,Total employment,Formal employment,Informal employment,Retired and outside the labor force,Unemployed or otherwise inactive
2022,1982-1984,13117,88.839148475046,77.4252376906029,11.413910784443102,0.11533996198194592,11.04551156297206
2022,1975-1981,31637,87.1569721317267,74.24719167599334,12.909780455733362,0.5677510395254843,12.275276828747824
2024,1982-1984,12534,89.19927772404435,78.15154644364819,11.047731280396187,0.09133005884432499,10.709392217111313
2024,1975-1981,30047,85.19200002187989,70.22534533131565,14.966654690564264,2.012823083302342,12.795176894817747
2025,1982-1984,12247,87.87089387025314,77.05540769025669,10.815486179996459,0.12043503798891023,12.008671091757957
2025,1975-1981,29201,83.67502728618851,67.77109756261459,15.903929723573928,2.070886291846926,14.254086421964562
