Period,Outcome,Parameter,coef,se_household,p_household,ci_low,ci_high,n,r2
2024 vs 2022,Formal employment,Male DiD - female DiD,-4.349804042074024,1.1250921981434847,0.00011055533479079382,-6.554944229722256,-2.144663854425792,179406,0.18598867008685505
2024 vs 2022,Informal employment,Male DiD - female DiD,3.9357518187030296,0.8476173657662281,3.4286811271166705e-06,2.274452309130509,5.59705132827555,179406,0.0014777511213152073
2024 vs 2022,Retired and outside the labor force,Male DiD - female DiD,0.7906968755487251,0.19137403272019982,3.6011651633884925e-05,0.41561066384094364,1.1657830872565067,179406,0.005554716072240673
2025 vs 2022,Formal employment,Male DiD - female DiD,-4.916083656647757,1.1341836201607207,1.4611242529441569e-05,-7.139042704018026,-2.6931246092774876,177596,0.18252107780019822
2025 vs 2022,Informal employment,Male DiD - female DiD,4.6120986912065085,0.8505911857318569,5.886099114046958e-08,2.944970601604849,6.279226780808168,177596,0.0014320639745294406
2025 vs 2022,Retired and outside the labor force,Male DiD - female DiD,0.6117167271996138,0.17184094535019598,0.000371159297996698,0.274914663243914,0.9485187911553136,177596,0.0036338522102392634
